px_est	py_est	v_est	yaw_ang_est	yaw_rate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_ang_gt	yaw_rate_gt	NIS_laser	NIS_radar
19.5728	8.72676	4.68435	1.15217	0.389909	radar	0.514308	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	1.19484	0.491613	3.54998	0.514308
19.7359	8.90017	4.66046	1.13418	0.34471	lidar	4.05099	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	1.21942	0.494673	4.05099	0.514308
19.8098	9.11952	4.62918	1.16946	0.377578	radar	1.022	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.24416	0.497655	4.05099	1.022
19.9393	9.3493	4.67484	1.1766	0.36327	lidar	3.13395	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.26904	0.500558	3.13395	1.022
19.9845	9.56925	4.61127	1.22502	0.418746	radar	2.5858	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	1.29407	0.503383	3.13395	2.5858
20.0698	9.81385	4.65761	1.24883	0.422043	lidar	0.893314	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.31923	0.506127	0.893314	2.5858
20.1309	10.0637	4.71567	1.27528	0.420361	radar	7.26911	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	1.34454	0.508793	0.893314	7.26911
20.1763	10.3425	4.79064	1.31658	0.444165	lidar	1.01856	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.36998	0.511377	1.01856	7.26911
20.191	10.5793	4.7518	1.36822	0.495654	radar	2.79293	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	1.39555	0.513881	1.01856	2.79293
20.2476	10.8562	4.82588	1.39698	0.499648	lidar	2.10828	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.42124	0.516304	2.10828	2.79293
20.2762	11.115	4.86758	1.42584	0.497719	radar	4.89259	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	1.44706	0.518645	2.10828	4.89259
20.3104	11.3532	4.86365	1.44931	0.49612	lidar	0.00386064	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	1.47299	0.520904	0.00386064	4.89259
20.2531	11.6041	4.81165	1.53342	0.60118	radar	10.1558	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	1.49904	0.523081	0.00386064	10.1558
20.3255	11.8422	4.81514	1.53564	0.568754	lidar	4.99926	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	1.52519	0.525176	4.99926	10.1558
20.3537	12.0762	4.84263	1.53432	0.504476	radar	3.92684	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	1.55145	0.527187	4.99926	3.92684
20.3386	12.3666	4.92429	1.57341	0.519065	lidar	1.0503	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.57781	0.529115	1.0503	3.92684
20.287	12.6058	4.88158	1.63572	0.588783	radar	2.96443	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	1.60426	0.53096	1.0503	2.96443
20.3134	12.8424	4.86704	1.64597	0.567052	lidar	1.98876	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.63081	0.532721	1.98876	2.96443
20.3019	13.0729	4.84344	1.67079	0.565767	radar	2.10955	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	1.65745	0.534397	1.98876	2.10955
20.2678	13.2831	4.79321	1.69993	0.567565	lidar	0.994538	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.68417	0.53599	0.994538	2.10955
